Category,Document,Subject Matter,Format,Priority,Source / Where to Get,Why Needed,Obtained ✓,Date Added,Notes
B. Income & Payroll,Current HSA election screenshot / contribution schedule,HSA contributions,Screenshot / PDF,Deferred planning,HSA provider portal,Confirms HSA max trajectory,☐,,
B. Income & Payroll,Employer benefit deduction summaries,Benefits,PDF,Deferred planning,HR benefits portal,"Medical, dental, vision, life, LTD, FSA/HSA, PAC, etc.",☐,,
B. Income & Payroll,Forward RSU vesting calendar - 2026-2027,RSU forecast,PDF / Screenshot,Deferred planning,Fidelity NetBenefits,Forward event-income projection,☐,,
B. Income & Payroll,Bonus structure / target documentation - both spouses,Bonus forecast,PDF / Plan doc,Deferred planning,Employer comp plan / HR,"Target percent, payment timing, performance criteria",☐,,
C. Debt & Housing,Primary mortgage statements - 2026,Primary mortgage,PDF,Optional verification,Lender portal,"P&I, escrow, taxes/insurance, rate, balance",☐,,
C. Debt & Housing,Rental mortgage statements - 2026,Rental mortgage,PDF,Deferred planning,Lender portal,Rental property cash-flow baseline,☐,,
C. Debt & Housing,HELOC / home equity loan statements - 2026,HELOC,PDF,Optional verification if active,Lender portal,Payoff trajectory and monthly obligation,☐,,
C. Debt & Housing,Tesla / car loan statements - 2026,Auto loan,PDF,Optional verification if active,Lender portal,Fixed monthly payment and payoff date,☐,,
C. Debt & Housing,Property tax bills - primary residence,Property taxes,PDF,Optional verification if not escrowed,Town/county tax office,Annual/escrow reconciliation,☐,,
C. Debt & Housing,Property tax bills - rental,Rental property tax,PDF,Deferred planning,Town/county tax office,True rental profitability,☐,,
C. Debt & Housing,Homeowners insurance declaration page,Home insurance,PDF,Optional verification,Insurance carrier,Annual or escrowed housing cost,☐,,
C. Debt & Housing,Auto insurance premium schedule,Auto insurance,PDF,Optional verification,Insurance carrier,Often semiannual and easy to miss,☐,,
C. Debt & Housing,Umbrella insurance premium,Umbrella insurance,PDF,Deferred planning,Insurance carrier,Usually annual; belongs in sinking fund,☐,,
C. Debt & Housing,Flood / other property coverage,Specialty insurance,PDF,Deferred planning if applicable,Insurance carrier,Hidden annual fixed cost,☐,,
C. Debt & Housing,"Home component-age table - roof, HVAC, water heater, etc.",Home capex,Worksheet,Deferred planning,Manual inventory,Sinking-fund sizing for primary-residence cap-ex,☐,,
C. Debt & Housing,"Vehicle replacement reserve - target year, estimated cost",Vehicle replacement,Worksheet,Deferred planning,Manual estimate,Implicit replacement schedule beyond Tesla loan,☐,,
D. Utilities & Household,Electric bills - all 2026 or CSV,Utilities,PDF / CSV,Optional enrichment,Utility online account,Monthly seasonal pattern,☐,,
D. Utilities & Household,Gas / oil / heating bills,Utilities,PDF,Optional enrichment,Utility online account,Seasonal baseline,☐,,
D. Utilities & Household,Water / sewer bills,Utilities,PDF,Optional enrichment,Municipal portal,Often quarterly,☐,,
D. Utilities & Household,Internet bill,Communications,PDF,Optional enrichment,ISP account,Fixed recurring,☐,,
D. Utilities & Household,Cell phone bill,Communications,PDF,Optional enrichment,Carrier portal,Fixed recurring,☐,,
D. Utilities & Household,Security system,Home services,PDF,Optional enrichment,Provider portal,Subscription / fixed,☐,,
D. Utilities & Household,"Trash, lawn, snow, cleaning services",Home services,Invoice / PDF,Optional enrichment if material,Vendor invoices,These are often paid by check/Venmo and get miscategorized,☐,,
D. Utilities & Household,Dog grooming / daycare / boarding records,Pet expenses,Invoice,Optional enrichment,Vendor records,Pet baseline versus pet abnormal spend,☐,,
D. Utilities & Household,Household service contracts,Home services,PDF,Optional enrichment,Vendor contracts,"HVAC, pest, appliance, etc.",☐,,
E. Insurance & Protection,Existing Jeff term life policy statement,Life insurance,PDF,Deferred planning,Insurance carrier,Confirms $100K coverage and premium,☐,,
E. Insurance & Protection,Ashley life insurance quotes,Life insurance,PDF / Email,Deferred planning once received,Quoting agent,New fixed cost scenario,☐,,
E. Insurance & Protection,Gaffney group life / guaranteed issue details,Group life,PDF,Deferred planning if available,Employer / broker,Possible added premium and coverage,☐,,
E. Insurance & Protection,Jeff LTD policy / certificate,Disability,PDF,Deferred planning,Employer benefits / carrier,Protection gap,☐,,
E. Insurance & Protection,Ashley LTD policy / certificate,Disability,PDF,Deferred planning,Employer benefits / carrier,Protection gap,☐,,
E. Insurance & Protection,Jeff own-occ DI quotes,Disability,PDF / Email,Deferred planning once received,Quoting agent,New fixed cost and risk tradeoff,☐,,
E. Insurance & Protection,Auto policy declarations,Auto insurance,PDF,Deferred planning,Carrier,Premium timing and coverage,☐,,
E. Insurance & Protection,Home / umbrella declarations,Home insurance,PDF,Deferred planning,Carrier,Premium timing and liability protection,☐,,
E. Insurance & Protection,"LTD policy detail extract - own-occ vs any-occ, EP, benefit cap, taxability (both spouses)",Disability definition,Worksheet,Deferred planning,Existing LTD certificates,Required input for own-occ DI buy decision,☐,,
E. Insurance & Protection,"Beneficiary designations - life, retirement, transfer-on-death",Beneficiaries,PDF / Screenshot,Deferred planning,Each carrier / custodian,Confirms life-insurance scenario assumptions,☐,,
F. Rental Property,Lease / rent amount / renewal terms,Rental income,PDF,Deferred planning,Lease document,Current and projected rent,☐,,
F. Rental Property,Rent payment history - 2026,Rental income,CSV / Statement,Deferred planning,Payment platform,Actual collection pattern,☐,,
F. Rental Property,Rental mortgage statements,Rental mortgage,PDF,Deferred planning,Lender portal,Fixed property cost,☐,,
F. Rental Property,Condo / HOA dues statements,HOA fees,PDF,Deferred planning,HOA portal,Monthly / quarterly cost,☐,,
F. Rental Property,Rental insurance policy,Landlord insurance,PDF,Deferred planning,Carrier,Annual cost,☐,,
F. Rental Property,Property tax bill / escrow statement,Rental property tax,PDF,Deferred planning,Town/county,True cost,☐,,
F. Rental Property,Repairs / maintenance invoices,Rental expenses,Invoice,Deferred planning,Vendor invoices,True net cash flow,☐,,
F. Rental Property,Tenant communications re rent increase,Rental forecast,Email / PDF,Deferred planning,Email archive,Forecasting 2027 rent,☐,,
F. Rental Property,Prior-year Schedule E / depreciation schedule,Tax records,PDF,Deferred planning,Tax return,"Tax-adjusted rental analysis, not needed for first cash dashboard",☐,,
F. Rental Property,Capital improvements vs. repairs running ledger,Rental capex/repairs,Worksheet,Deferred planning,Manual log,Schedule E and depreciation; cap-improve vs. repair distinction,☐,,
G. Medical / HSA,Fidelity HSA statements,HSA activity,PDF,Deferred planning,Fidelity portal,"Contributions, distributions, cash/investment balance",☐,,
G. Medical / HSA,Medical receipts folder / ledger,Medical expenses,PDF / Folder,Optional enrichment,Receipt collection,Tracks expenses paid out of pocket,☐,,
G. Medical / HSA,HSA debit card transaction history,HSA spending,CSV,Optional enrichment if used,HSA portal,Avoid double-counting medical spend,☐,,
G. Medical / HSA,Major medical / dental / vet bills,Medical expenses,Invoice / PDF,Optional enrichment,Provider invoices,Separate ordinary from abnormal,☐,,
G. Medical / HSA,YTD medical deductible and OOP-max tracker,Medical OOP status,Worksheet / EOB,Deferred planning,Insurance carrier portal,Q4 medical forecast and HSA-vs-cash decision,☐,,
H. Subscriptions & Apps,Apple subscriptions screenshot / export,App subscriptions,Screenshot,Optional enrichment,iPhone Settings > Subscriptions,Hidden recurring app charges,☐,,
H. Subscriptions & Apps,Google subscriptions screenshot / export,App subscriptions,Screenshot,Optional enrichment if applicable,Google account subscriptions,Same as Apple,☐,,
H. Subscriptions & Apps,Amazon memberships / subscriptions,Amazon recurring,Screenshot,Optional enrichment,Amazon Subscribe & Save page,"Subscribe & Save, Prime, channels",☐,,
H. Subscriptions & Apps,Streaming subscriptions,Streaming services,Screenshot / List,Optional enrichment,Each provider account,Monthly recurring audit,☐,,
H. Subscriptions & Apps,Software / SaaS subscriptions,Software,Screenshot / List,Optional enrichment,Each provider account,Author / business / professional charges,☐,,
H. Subscriptions & Apps,Patreon / Substack / newsletters,Content subscriptions,Screenshot,Optional enrichment,Account portals,Small recurring charges add up,☐,,
H. Subscriptions & Apps,Fitness / wellness apps,Fitness subscriptions,Screenshot,Optional enrichment,App accounts,Recurring lifestyle spend,☐,,
H. Subscriptions & Apps,"Professional / business subscriptions - bar dues, CLE, author tools",Professional dues,Screenshot / List,Optional enrichment,Each provider account,Distinguish business-deductible from personal lifestyle subscriptions,☐,,
I. Tax Documents,2025 joint tax return,Prior year taxes,PDF,Deferred planning,Tax preparer / archive,"Marginal rates, withholding baseline",☐,,
I. Tax Documents,2026 YTD paystubs (consolidated),Withholding,PDF,Deferred planning,Payroll portals,Current withholding,☐,,
I. Tax Documents,2026 estimated tax payments,Estimated taxes,PDF / Receipt,Deferred planning if applicable,IRS / state portal,Avoid surprise cash need,☐,,
I. Tax Documents,Cherubino tax projection,Tax projection,PDF,Deferred planning,Tax preparer,W-4 / estimated tax planning,☐,,
I. Tax Documents,RSU tax withholding records,RSU taxes,PDF,Deferred planning,Fidelity / employer,Cash-flow and tax reconciliation,☐,,
I. Tax Documents,1099 / dividend estimates from taxable accounts,Investment income,PDF,Deferred planning,Brokerage,Tax drag and estimated-tax planning,☐,,
I. Tax Documents,"Form 8606 history (last 5 years, both spouses)",IRA basis tracking,PDF,Deferred planning,Prior tax returns / preparer,Backdoor Roth pro-rata rule and basis preservation,☐,,
I. Tax Documents,"Current Traditional / Rollover IRA balances (both spouses, all custodians)",IRA balances,PDF / Screenshot,Deferred planning,Each custodian portal,Pro-rata rule check before backdoor Roth re-engagement,☐,,
I. Tax Documents,Taxable brokerage statements - Ameriprise + any other,Taxable investments,PDF,Deferred planning,Ameriprise / other custodian,"Tax drag, Roth funding source, after-tax cash flow",☐,,
I. Tax Documents,2025 actual federal + state tax liability and 2026 safe-harbor target,Estimated tax planning,PDF / Worksheet,Deferred planning,Tax preparer / 2025 return,Safe-harbor check; avoid underpayment penalty,☐,,
I. Tax Documents,RSU supplemental-rate gap analysis,RSU under-withholding,Worksheet,Deferred planning,Manual calc from RSU stubs and bracket,Default 22% supplemental rate often under-withholds high earners,☐,,
I. Tax Documents,Charitable contribution log - 2026 YTD,Charitable giving,CSV / Worksheet,Deferred planning,Manual log,Tax projection input; separate from political contributions,☐,,
